index,case_id,item_id,kind,voice_tag,model,gender,speaker,status_code,guid,rtt_ms,audio_present,audio_bytes_len,audio_path,wav_ok,duration_sec,rms,peak,word_durations_key,word_durations_len,word_count,errors
0,7eb5a2b9-47cd-4c76-8852-8ec807151755,T-0001,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:0,83,False,,,,,,,,,5,missing_audio;missing_word_durations_field
1,3d7825a3-6bf4-49c3-bf7a-d8968089cbe8,T-0002,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:1,598,True,85036,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0002_idx1_male_spk0_normal_চ_ব_ট_চট_কর_ট_ব_ল_র_ওপর_র_খ.wav,True,1.9272562358276644,5660.5792264016345,32393.0,word_durations,6,6,
2,716bfe34-0095-48ba-ab41-d6282e4666b7,T-0003,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:2,591,False,,,,,,,,,4,missing_audio;missing_word_durations_field
3,c93ecc83-7165-476f-8818-4d63be4e2e68,T-0004,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:3,962,True,92204,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0004_idx3_male_spk0_normal_ধ_প_নদ_র_ঘ_ট_ক_পড়_ধ_য়.wav,True,2.089795918367347,4000.4152209809517,32393.0,word_durations,5,5,
4,7d2ebd0a-480a-441e-a490-3e959fe6617a,T-0005,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:4,958,False,,,,,,,,,6,missing_audio;missing_word_durations_field
5,71d865ce-2433-4b5a-82d6-507477c349ae,T-0006,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:5,1298,True,76332,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0006_idx5_male_spk0_normal_ম_য়_ট_আয়ন_য়_ন_জ_ক_দ_খছ.wav,True,1.7298866213151927,5168.849093314168,32393.0,word_durations,4,4,
6,ff4aa185-149d-45ce-bcf7-0757147e2bf8,T-0007,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:6,1291,False,,,,,,,,,5,missing_audio;missing_word_durations_field
7,13315249-7da8-4b45-abdd-b27426a9fa67,T-0008,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:7,1667,True,95276,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0008_idx7_male_spk0_normal_গ_ড়_র_চ_ক_প_চ_র_হয়_ঘ_র_গ_ছ.wav,True,2.159455782312925,4505.700679158908,32393.0,word_durations,6,6,
8,cbcd4907-cccc-46a1-a162-d7636aa2312d,T-0009,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:8,1663,False,,,,,,,,,5,missing_audio;missing_word_durations_field
9,fb23672d-909c-4df2-bc1b-63fd0fb31af2,T-0010,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:9,2044,True,97836,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0010_idx9_male_spk0_normal_ব_য_ঙ_র_ছ_ত_দ_খত_অদ_ভ_ত_ল_গ.wav,True,2.2175056689342405,3953.712328627373,32393.0,word_durations,5,5,
10,ed7d5edd-1d6a-4f95-bd7e-5e2b37909c47,T-0011,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:10,2040,False,,,,,,,,,6,missing_audio;missing_word_durations_field
11,5885b019-b670-4a69-8953-c4bab7fed998,T-0012,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:11,2402,True,86572,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0012_idx11_male_spk0_normal_ঋষ_বন_র_মধ_য_বস_ধ_য_ন_করছ_ন.wav,True,1.9620861678004535,5151.580717501929,32393.0,word_durations,6,6,
12,03271be9-30e2-439f-9f5c-eb66ad40eb5d,T-0013,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:12,2396,False,,,,,,,,,5,missing_audio;missing_word_durations_field
13,e2551da4-6b74-4b95-a895-0a1808d06e3b,T-0014,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:13,2771,True,79916,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0014_idx13_male_spk0_normal_শশ_খ_ত_আম_র_খ_ব_ভ_ল_ল_গ.wav,True,1.811156462585034,4601.94827473945,32393.0,word_durations,6,6,
14,b70a21c7-cb59-4200-a955-05d69701533b,T-0015,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:14,2764,False,,,,,,,,,5,missing_audio;missing_word_durations_field
15,10561225-a168-4b1a-a3a5-dcf447d7abb0,T-0016,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:15,3111,True,99884,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0016_idx15_male_spk0_normal_ঔষধ_র_দ_ম_আজক_ল_অন_ক_ব_শ.wav,True,2.2639455782312927,5137.99383921847,32393.0,word_durations,5,5,
16,5e7fd0e2-ba10-4ce0-8dd7-a303bf83ba01,T-0017,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:16,3105,False,,,,,,,,,5,missing_audio;missing_word_durations_field
17,bdcc6fac-a6c6-4d86-b02a-ff56ae395853,T-0018,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:17,3468,True,100908,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0018_idx17_male_spk0_normal_ঊষ_লগ_ন_স_র_য_দয়_দ_খ_য_য়.wav,True,2.2871655328798184,5446.677541430519,32393.0,word_durations,5,5,
18,585ca3e2-d79c-4f31-bbf8-7cf675d0f0df,T-0019,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:18,3476,False,,,,,,,,,5,missing_audio;missing_word_durations_field
19,9280394f-f11e-448c-be69-499aa8e6ee63,T-0020,normal,male_spk0,vits,male,0,200,tMo5jwxL2K2BEMGGAyZJ:vits:m:0:19,4192,True,77868,outputs/20260222_112845_3e07fa57/audio/male_spk0/T-0020_idx19_male_spk0_normal_খই_ভ_জ_খ_ত_ম_চম_চ_ল_গ.wav,True,1.7647165532879818,6300.963441147115,32393.0,word_durations,5,5,
